;neurons number1;neurons number2;learning rate;epoch;mean acc.(train);mean acc.(test)
3408;10;10;0.005;2000;76.03537731384218;73.4894625698552
3409;10;10;0.005;2000;76.2161260773789;73.68344761633851
3410;10;10;0.005;5000;77.0009720629084;74.56571619483057
3411;10;10;0.005;5000;77.72870754886247;75.37861103689525
3412;10;10;0.005;5000;78.3927628294118;76.12322955477438
3413;10;10;0.005;5000;78.92527832662098;76.72736510596022
3414;10;10;0.005;5000;79.49663075339907;77.36981931550152
3415;10;10;0.005;5000;79.97612204534524;77.91412405267259
3416;10;10;0.005;5000;80.43426540104973;78.43171902734048
3417;10;10;0.005;5000;80.87256341705869;78.92119847804872
3418;10;10;0.005;5000;81.27794581801015;79.3756801450374
3419;10;10;0.005;5000;81.6606366075683;79.80495483334394
3420;10;10;0.05;1000;95.08127054439404;94.74983826966378
3421;10;10;0.05;1000;95.16825722727633;94.8387468790882
3422;10;10;0.05;1000;94.97087360968207;94.61833046630888
3423;10;10;0.05;1000;94.94538422548155;94.56767000337825
3424;10;10;0.05;1000;94.93250509310423;94.57329203821321
3425;10;10;0.05;1000;94.96319670618205;94.6066648010031
3426;10;10;0.05;1000;94.91926959646672;94.54791265824714
3427;10;10;0.05;1000;94.92480338433752;94.56627632999883
3428;10;10;0.05;1000;94.9191031524733;94.55197490537338
3429;10;10;0.05;1000;94.9044618089367;94.52516375840023
3430;10;10;0.05;2000;95.06401950814679;94.65132423578552
3431;10;10;0.05;2000;95.1623962542328;94.72838313601112
3432;10;10;0.05;2000;95.27850820371161;94.81973762902683
3433;10;10;0.05;2000;95.38317507451612;94.88206022784004
3434;10;10;0.05;2000;95.4741308744931;94.95391920339239
3435;10;10;0.05;2000;95.55234260799108;95.01829999733611
3436;10;10;0.05;2000;95.6231115501678;95.07471347641923
3437;10;10;0.05;2000;95.66673072698588;95.10832265551555
3438;10;10;0.05;2000;95.73085101696599;95.14326864206664
3439;10;10;0.05;2000;95.77457630005019;95.18094880367221
3440;10;10;0.05;5000;95.87128394835297;95.2455647086433
3441;10;10;0.05;5000;95.95703655380031;95.28548426613246
3442;10;10;0.05;5000;96.03802840206113;95.34083046417685
3443;10;10;0.05;5000;96.11284690956927;95.3760425100358
3444;10;10;0.05;5000;96.17283549235982;95.41746932848281
3445;10;10;0.05;5000;96.2342603656207;95.45996838090143
3446;10;10;0.05;5000;96.29336109566741;95.49935947040979
3447;10;10;0.05;5000;96.34744687705115;95.52352340103168
3448;10;10;0.05;5000;96.39942899439833;95.55978696187856
3449;10;10;0.05;5000;96.4357295133717;95.58273270401456
3450;10;10;0.5;1000;96.58471865030121;95.8825346176477
3451;10;10;0.5;1000;96.67777858566306;96.01584634815362
3452;10;10;0.5;1000;96.63615051569502;96.05363697382877
3453;10;10;0.5;1000;96.60363850958294;95.96197751189794
