;neurons number;learning rate;epoch;mean acc.(train);mean acc.(test)
38;7;0.0001;5000;54.88142544124197;54.68393479309919
39;7;0.005;1000;71.85844686522414;69.42291070057715
40;7;0.005;2000;74.50530963625792;71.96876212028585
41;7;0.005;5000;76.94317907311118;74.65467882594787
42;7;0.05;1000;90.85795406002306;90.3624029562677
43;7;0.05;2000;92.72857881175504;92.29338103823844
44;7;0.05;5000;94.03513631678689;93.47153799061817
45;7;0.5;1000;96.47216179302471;95.92699935473877
46;7;0.5;2000;96.86272431862037;96.10289523230927
47;7;0.5;5000;97.27056274656387;96.23995556895856
48;10;0.0001;1000;54.92409144456847;54.859330635432265
49;10;0.0001;2000;55.33742309544341;55.10789328518159
50;10;0.0001;5000;55.61098188060763;55.28292059692646
51;10;0.005;1000;72.76477990097513;70.31961557046375
52;10;0.005;2000;75.07330412322592;72.57188521388707
53;10;0.005;5000;77.3079492915925;75.04534614132261
54;10;0.05;1000;90.48509144753896;89.97351737933391
55;10;0.05;2000;92.6189017730685;92.17174604437974
56;10;0.05;5000;93.99968559390322;93.41842813963929
57;10;0.5;1000;96.46696031876411;96.0001603515239
58;10;0.5;2000;96.88260042460627;96.15419762770131
59;10;0.5;5000;97.28618600286957;96.26081490527359
60;15;0.0001;1000;55.566725942419076;55.25715807512229
61;15;0.0001;2000;55.79482209543494;55.440150179743384
62;15;0.0001;5000;56.158045076856894;55.70320015446593
63;15;0.005;1000;73.88793950987154;71.32028803316103
64;15;0.005;2000;75.81971041511278;73.27131705649774
65;15;0.005;5000;78.04431526054331;75.79227331918716
66;15;0.05;1000;90.62278433025666;90.13249876781688
67;15;0.05;2000;92.68750971454527;92.24206687861837
68;15;0.05;5000;94.05086408124939;93.4693713248042
69;15;0.5;1000;95.95881476932185;95.73126971353868
70;15;0.5;2000;95.76662592873001;95.20728850918
71;15;0.5;5000;96.53753317199907;95.61308800225675
72;30;0.0001;1000;56.11951012611432;55.644365773975565
73;30;0.0001;2000;56.29997735810851;55.78524579988135
74;30;0.0001;5000;56.880194906759144;56.27938995426043
75;30;0.005;1000;75.1228825457987;72.54566740243752
76;30;0.005;2000;76.70599373337927;74.2069531662926
77;30;0.005;5000;78.83858755367652;76.67969217084632
